No.,名称,燃やすごみ,燃やさないごみ,プラマーク,資源,粗大ごみ
1,八重洲２丁目,月・火・水・木・金・土,金,火,火,火
2,京橋１丁目,月・火・水・木・金・土,金,火,火,火
3,京橋２丁目,月・火・水・木・金・土,金,火,火,火
4,京橋３丁目,月・火・水・木・金・土,金,火,火,火
5,銀座１丁目,月・火・水・木・金・土,月,木,木,木
6,銀座２丁目,月・火・水・木・金・土,月,木,木,木
7,銀座３丁目,月・火・水・木・金・土,土,水,水,木
8,銀座４丁目,月・火・水・木・金・土,土,水,水,木
9,銀座５丁目,月・火・水・木・金・土,水,土,土,木
10,銀座６丁目,月・火・水・木・金・土,水,土,土,木
11,銀座７丁目,月・火・水・木・金・土,木,月,月,木
12,銀座８丁目,月・火・水・木・金・土,木,月,月,木
13,新富１丁目,月・木,金,水,火,土
14,新富２丁目,月・木,金,水,火,土
15,入船１丁目,水・土,木,火,月,月
16,入船２丁目,水・土,木,火,月,月
17,入船３丁目,水・土,木,火,月,月
18,湊１丁目,水・土,木,火,月,月
19,湊２丁目,水・土,木,火,月,月
20,湊３丁目,水・土,木,火,月,月
21,明石町,水・土,木,火,月,土
22,築地１丁目,月・木,金,水,火,水
23,築地２丁目,月・木,金,水,火,水
24,築地３丁目,月・木,金,水,火,水
25,築地４丁目,月・木,金,水,火,水
26,築地５丁目,月・木,金,水,火,水
27,築地６丁目,月・木,金,水,火,水
28,築地７丁目,月・木,金,水,火,水
29,浜離宮庭園,水・土,木,火,月,水
30,八丁堀１丁目,水・土,木,火,月,土
31,八丁堀２丁目,火・金,水,月,土,土
32,八丁堀３丁目,火・金,水,月,土,土
33,八丁堀４丁目,火・金,水,月,土,土
34,新川１丁目,火・金,水,月,土,水
35,新川２丁目,火・金,水,月,土,水
36,日本橋本石町１丁目,月・木,火,土,金,金
37,日本橋本石町２丁目,月・木,火,土,金,金
38,日本橋本石町３丁目,月・木,火,土,金,金
39,日本橋本石町４丁目,月・木,火,土,金,金
40,日本橋室町１丁目,月・木,火,土,金,金
41,日本橋室町２丁目,月・木,火,土,金,金
42,日本橋室町３丁目,月・木,火,土,金,金
43,日本橋室町４丁目,月・木,火,土,金,金
44,日本橋本町１丁目1番,月・木,火,土,金,金
45,日本橋本町１丁目2番,月・木,火,土,金,金
46,日本橋本町１丁目3番,月・木,火,土,金,金
47,日本橋本町１丁目4番,月・木,火,土,金,金
48,日本橋本町１丁目5番,月・木,火,土,金,金
49,日本橋本町１丁目6番,月・木,金,水,火,金
50,日本橋本町１丁目7番,月・木,金,水,火,金
51,日本橋本町１丁目8番,月・木,金,水,火,金
52,日本橋本町１丁目9番,月・木,金,水,火,金
53,日本橋本町１丁目10番,水・土,月,金,木,金
54,日本橋本町２丁目1番,月・木,火,土,金,金
55,日本橋本町２丁目2番,月・木,火,土,金,金
56,日本橋本町２丁目3番,月・木,火,土,金,金
57,日本橋本町２丁目4番,月・木,火,土,金,金
58,日本橋本町２丁目5番,月・木,火,土,金,金
59,日本橋本町２丁目6番,月・木,金,水,火,金
60,日本橋本町２丁目7番,月・木,金,水,火,金
61,日本橋本町２丁目8番,月・木,金,水,火,金
62,日本橋本町３丁目1番,月・木,火,土,金,金
63,日本橋本町３丁目2番,月・木,火,土,金,金
64,日本橋本町３丁目3番,月・木,火,土,金,金
65,日本橋本町３丁目4番,月・木,火,土,金,金
66,日本橋本町３丁目5番,月・木,火,土,金,金
67,日本橋本町３丁目6番,月・木,金,水,火,金
68,日本橋本町３丁目7番,月・木,金,水,火,金
69,日本橋本町３丁目8番,月・木,金,水,火,金
70,日本橋本町３丁目9番,月・木,金,水,火,金
71,日本橋本町３丁目10番,月・木,金,水,火,金
72,日本橋本町３丁目11番,月・木,金,水,火,金
73,日本橋本町４丁目,月・木,火,土,金,金
74,日本橋小舟町,月・木,金,水,火,金
75,日本橋小伝馬町1番,月・木,金,水,火,金
76,日本橋小伝馬町2番,月・木,金,水,火,金
77,日本橋小伝馬町3番,月・木,火,土,金,金
78,日本橋小伝馬町4番,月・木,火,土,金,金
79,日本橋小伝馬町5番,月・木,火,土,金,金
80,日本橋小伝馬町6番,月・木,火,土,金,金
81,日本橋小伝馬町7番,月・木,金,水,火,金
82,日本橋小伝馬町8番,月・木,金,水,火,金
83,日本橋小伝馬町9番,月・木,金,水,火,金
84,日本橋小伝馬町10番,月・木,金,水,火,金
85,日本橋小伝馬町11番,月・木,金,水,火,金
86,日本橋小伝馬町12番,月・木,金,水,火,金
87,日本橋小伝馬町13番,月・木,金,水,火,金
88,日本橋小伝馬町14番,月・木,金,水,火,金
89,日本橋小伝馬町15番,月・木,金,水,火,金
90,日本橋小伝馬町16番,月・木,金,水,火,金
91,日本橋小伝馬町17番,月・木,金,水,火,金
92,日本橋小伝馬町18番,月・木,金,水,火,金
93,日本橋小伝馬町19番,月・木,金,水,火,金
94,日本橋小伝馬町20番,月・木,金,水,火,金
95,日本橋小伝馬町21番,月・木,金,水,火,金
96,日本橋大伝馬町,月・木,金,水,火,金
97,日本橋堀留町１丁目,月・木,金,水,火,金
98,日本橋堀留町２丁目,月・木,金,水,火,金
99,日本橋富沢町,月・木,金,水,火,金
100,日本橋人形町１丁目,水・土,月,金,木,火
101,日本橋人形町２丁目1番,月・水・金・土,月,木,木,火
102,日本橋人形町２丁目2番,月・水・金・土,月,木,木,火
103,日本橋人形町２丁目3番,月・水・金・土,月,木,木,火
104,日本橋人形町２丁目4番,月・水・金・土,月,木,木,火
105,日本橋人形町２丁目5番,月・水・金・土,月,木,木,火
106,日本橋人形町２丁目6番,月・水・金・土,月,木,木,火
107,日本橋人形町２丁目7番,月・水・金・土,月,木,木,火
108,日本橋人形町２丁目8番,月・水・金・土,月,木,木,火
109,日本橋人形町２丁目9番,月・水・金・土,月,木,木,火
110,日本橋人形町２丁目10番,月・水・金・土,月,木,木,火
111,日本橋人形町２丁目11番,月・水・金・土,月,木,木,火
112,日本橋人形町２丁目12番,月・水・金・土,月,木,木,火
113,日本橋人形町２丁目13番,月・水・金・土,月,木,木,火
114,日本橋人形町２丁目14番,月・水・金・土,月,木,木,火
115,日本橋人形町２丁目15番,水・土,月,金,木,火
116,日本橋人形町２丁目16番,水・土,月,金,木,火
117,日本橋人形町２丁目17番,水・土,月,金,木,火
118,日本橋人形町２丁目18番,水・土,月,金,木,火
119,日本橋人形町２丁目19番,水・土,月,金,木,火
120,日本橋人形町２丁目20番,水・土,月,金,木,火
121,日本橋人形町２丁目21番,水・土,月,金,木,火
122,日本橋人形町２丁目22番,水・土,月,金,木,火
123,日本橋人形町２丁目23番,水・土,月,金,木,火
124,日本橋人形町２丁目24番,水・土,月,金,木,火
125,日本橋人形町２丁目25番,水・土,月,金,木,火
126,日本橋人形町２丁目26番,水・土,月,金,木,火
127,日本橋人形町２丁目27番,水・土,月,金,木,火
128,日本橋人形町２丁目28番,水・土,月,金,木,火
129,日本橋人形町２丁目29番,水・土,月,金,木,火
130,日本橋人形町２丁目30番,水・土,月,金,木,火
131,日本橋人形町２丁目31番,水・土,月,金,木,火
132,日本橋人形町２丁目32番,水・土,月,金,木,火
133,日本橋人形町２丁目33番,水・土,月,金,木,火
134,日本橋人形町２丁目34番,水・土,月,金,木,火
135,日本橋人形町２丁目35番,水・土,月,金,木,火
136,日本橋人形町２丁目36番,水・土,月,金,木,火
137,日本橋人形町２丁目37番,水・土,月,金,木,火
138,日本橋人形町３丁目,月・木,金,水,火,火
139,日本橋小網町,水・土,月,金,木,火
140,日本橋蛎殻町１丁目,水・土,月,金,木,火
141,日本橋蛎殻町２丁目,水・土,木,火,月,火
142,日本橋箱崎町,水・土,木,火,月,火
143,日本橋馬喰町１丁目,火・金,水,月,土,金
144,日本橋馬喰町２丁目,火・金,水,月,土,金
145,日本橋横山町,火・金,水,月,土,金
146,東日本橋１丁目,火・金,水,月,土,金
147,東日本橋２丁目,火・金,水,月,土,金
148,東日本橋３丁目,火・金,水,月,土,金
149,日本橋久松町,火・金,水,月,土,金
150,日本橋浜町１丁目,火・金,水,月,土,金
151,日本橋浜町２丁目,火・金,土,木,水,金
152,日本橋浜町３丁目,水・土,月,金,木,火
153,日本橋中洲,水・土,月,金,木,火
154,八重洲１丁目,月・火・水・木・金・土,火,金,金,火
155,日本橋１丁目,月・火・水・木・金・土,火,金,金,火
156,日本橋２丁目,月・火・水・木・金・土,火,金,金,火
157,日本橋３丁目,月・火・水・木・金・土,火,金,金,火
158,日本橋茅場町１丁目,水・土,木,火,月,火
159,日本橋茅場町２丁目,水・土,木,火,月,火
160,日本橋茅場町３丁目,水・土,木,火,月,火
161,日本橋兜町,水・土,木,火,月,火
162,佃１丁目,水・土,月,金,木,月
163,佃２丁目,水・土,月,金,木,月
164,佃３丁目,水・土,月,金,木,月
165,月島１丁目,火・金,土,木,水,土
166,月島２丁目,火・金,土,木,水,土
167,月島３丁目,火・金,土,木,水,土
168,月島４丁目,火・金,土,木,水,土
169,勝どき１丁目,月・木,火,土,金,木
170,勝どき２丁目,月・木,火,土,金,木
171,勝どき３丁目,月・木,火,土,金,木
172,勝どき４丁目,月・木,火,土,金,木
173,勝どき５丁目,月・木,火,土,金,木
174,勝どき６丁目,月・木,火,土,金,木
175,豊海町,月・木,火,土,金,木
176,晴海１丁目,水・土,月,金,木,水
177,晴海２丁目,水・土,月,金,木,水
178,晴海３丁目,水・土,月,金,木,水
179,晴海４丁目,水・土,月,金,木,水
180,晴海５丁目,水・土,月,金,木,水
